20120523060154,-11.29,-77.58,73,4.3,"II - III Lima/ Huacho"
20120527122130,-13.70,-76.37,43,4.7,"III Pisco"
20120527051030,-10.58,-75.55,39,4.6,"II-III Oxapampa/ II Posuzo"
20120528114641,-12.60,-76.45,86,3.9,"II Lima"
20120531013554,-11.37,-77.53,69,4.0,"II Huacho- Huaral- Lima"
20120604043732,-15.10,-75.54,40,4.4,"II Palpa"
20120607110314,-15.98,-72.75,110,6.1,"V Chuquibamba/ IV Caraveli/ III-IV Arequipa"
20120608075417,-12.70,-77.39,40,4.3,"III Lima"
20120611063737,-18.22,-70.51,90,4.7,"II Tacna- Moquegua- Arequipa"
20120616053648,-14.02,-76.12,50,4.1,"III Paracas/ II Pisco"
20120617052425,-13.47,-76.09,64,3.9,"II Chincha Alta (Dpto. Ica)"
20120621051710,-11.71,-76.96,96,4.7,"IV Matucana/ III Lima- Huacho/ II Matucana"
20120626041714,-13.51,-76.21,48,4.3,"III Pisco"
20120627030420,-11.57,-76.44,100,4.0,"II Canta- San Mateo"
20120627074107,-13.04,-76.20,96,4.2,"II-III San Vicente de Ca?ete- II Lima"
20120627020312,-4.47,-79.74,25,4.0,"II Ayabaca"
20120628061859,-12.17,-77.65,44,4.2,"II Callao- Lima"
20120629103625,-10.98,-74.80,22,4.2,"II Satipo- La Merced"
20120702113133,-14.71,-76.13,34,5.6,"IV Ica"
20120703123115,-14.76,-76.28,33,4.3,"II Ica- La Tingui?a"
20120703084701,-4.27,-76.38,128,5.2,"II Bagua- Nueva Cajamarca"
20120704110137,-12.12,-77.05,54,3.8,"II Lima"
20120705080224,-15.91,-73.57,85,4.2,"II Caravel?"
20120706015906,-11.90,-76.35,22,4.0,"II Lima- Matucana"
20120706055945,-11.86,-76.37,24,4.1,"II-III Lima- Matucana"
20120709050254,-10.45,-78.58,36,4.3,"II Huarmey"
20120709022158,-14.36,-75.30,65,4.2,"II Palpa"
20120711125217,-16.85,-71.99,58,4.2,"II Arequipa- Mollendo"
20120711010248,-17.45,-71.99,45,4.5,"III Mollendo/ II Camana- Arequipa"
20120711035235,-15.48,-75.65,32,4.9,"II Ica- Palpa- Nasca"
20120711044147,-15.42,-75.65,32,4.7,"II Ica- Nasca"
20120711084333,-15.41,-74.99,51,4.1,"II Acar?"
20120713042613,-15.24,-73.64,110,4.8,"II-III Cora Cora/ II Pausa- Ayacucho- Caraveli"
20120714030902,-12.04,-76.34,15,3.9,"II Matucana- Ricardo Palma- Lima"
20120715030505,-13.77,-74.01,86,4.7,"II Huanca Sancos- Ayacucho- Andahuaylas"
20120715103335,-13.43,-72.71,83,4.6,"II Abancay"
20120716122106,-12.35,-76.86,40,3.8,"II Lima"
20120716013040,-14.65,-76.32,27,4.3,"II Ica- Chincha"
20120717110654,-8.04,-74.62,163,4.6,"II Pucallpa"
20120720071506,-9.96,-75.38,20,4.0,"II Pozuzo"
20120728090738,-12.42,-77.42,38,3.7,"II Lima"
20120729123549,-12.02,-77.20,58,4.5,"III Lima Callao II Huacho Huaral"
20120731053440,-14.29,-76.80,21,4.5,"II Pisco- Ica"
20120801080215,-12.32,-77.34,46,3.7,"II Lima"
20120802043814,-8.64,-74.19,150,6.4,"IV-V Pucallpa/ III-IV Huanuco/ III Trujillo/ II Lima"
20120802043814,-8.64,-74.19,130,6.4,"III-IV Pucallpa"
20120802100328,-15.80,-73.12,114,4.1,"II Caravel?"
20120803084649,-12.53,-76.65,56,3.8,"II Lima"
20120803010315,-16.25,-72.87,62,4.4,"III Oco?a- Aplao/ II Arequipa"
20120803092258,-4.01,-80.99,56,4.0,"II Mancora"
20120803100334,-3.96,-80.97,54,4.1,"II Mancora"
20120806022338,-13.61,-76.28,58,4.3,"II-III Pisco/ II Chincha Alta- Tambo de Mora"
20120806090250,-9.07,-76.18,120,4.9,"II-III Tingo Mar?a/ II Huanuco"
20120807053059,-13.50,-77.00,46,5.4,"II-III San Vicente de Ca?ete/ II Ica- Lima"
20120807044351,-18.30,-70.15,86,4.4,"II Tacna"
20120807095302,-12.79,-77.25,32,3.9,"II Lima"
20120808020659,-5.62,-76.07,57,4.4,"II Yurimaguas"
20120811043547,-11.45,-77.70,69,4.3,"III Huacho/ III-II Lima"
20120813123245,-5.67,-76.94,139,4.9,"II Moyobamba"
20120819021937,-13.37,-71.95,12,4.0,"II Cusco"
20120820031400,-10.75,-75.54,11,4.0,"II-III Oxapampa- Santa Isabel"
20120820104403,-13.97,-77.01,23,4.2,"II Pisco"
20120824022212,-11.76,-77.32,68,3.9,"II Ancon"
20120824110425,-13.48,-71.96,10,3.5,"II Cusco"
20120825110637,-12.33,-77.30,40,3.9,"II Lima"
20120829100123,-8.85,-75.38,130,4.8,"II Aguaytia- Tingo Maria- Pucallpa"
20120901103459,-13.35,-76.33,67,4.2,"III Chincha II San Vicente de Ca?ete Pisco"
20120904075942,-11.20,-73.56,139,4.5,"II Atalaya"
20120906040419,-16.53,-73.83,39,4.8,"III IV Atico/ III Yauca- Camana/ II Arequipa"
20120907072604,-6.19,-80.05,53,4.4,"IV Olmos/ II Lambayeque- Chiclayo"
20120908101758,-8.67,-78.75,53,4.0,"II Chimbote"
20120909054627,-5.48,-80.62,40,4.2,"II Sechura- Piura"
20120909070403,-11.91,-76.33,26,3.7,"II Matucana"
20120909083555,-12.56,-76.83,50,3.9,"II Chilca- Lima"
20120914105732,-4.32,-80.45,38,4.1,"II Mancora"
20120915121427,-4.12,-80.28,40,4.0,"II Mancora"
20120915053900,-18.34,-71.12,40,4.3,"II Tacna"
20120915062750,-12.52,-77.33,47,4.0,"II Lima"
20120918024226,-12.18,-77.26,66,3.8,"II Lima"
20120919122155,-13.05,-76.69,63,4.0,"II-III San Vicente de Ca?ete"
20120920010804,-14.05,-73.06,115,4.6,"II Abancay"
20120922033617,-17.46,-71.05,45,4.5,"II Moquegua"
20120923034719,-13.08,-76.74,57,4.4,"III-II San Vicente de Ca?ete"
20120924062509,-16.72,-73.18,48,4.3,"II Oco?a- Caman?"
